clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey
11923,10003416,2020-08-06 04:16:38.96,0.00269,6,2
11923,10003417,2020-08-06 04:16:38.96,0.00212,6,2
11923,10003418,2020-08-06 04:16:38.96,0.00257,6,2
11923,10003419,2020-08-06 04:16:38.96,0.00155,6,2
11923,10003420,2020-08-06 04:16:38.96,0.01267,6,2
11923,10003423,2020-08-06 04:16:38.96,0.00537,6,2
11923,10003427,2020-08-06 04:16:38.96,0.00213,6,2
11923,10003434,2020-08-06 04:16:38.96,0.00309,6,2
11923,10003435,2020-08-06 04:16:38.96,0.00249,6,2
11923,10003437,2020-08-06 04:16:38.96,0.00161,6,2
11923,10003440,2020-08-06 04:16:38.96,0.00264,6,2
11923,10003443,2020-08-06 04:16:38.96,0.0074,6,2
11923,10003444,2020-08-06 04:16:38.96,0.0354,6,2
11923,10003445,2020-08-06 04:16:38.96,0.1722,6,2
11923,10003447,2020-08-06 04:16:38.96,0.00496,6,2
11923,10003450,2020-08-06 04:16:38.96,6.726,6,2
11923,10003455,2020-08-06 04:16:38.96,549.49,6,2
11923,10003458,2020-08-06 04:16:38.96,147.15,6,2
11923,10003465,2020-08-06 04:16:38.96,0.86753,6,2
11923,10003467,2020-08-06 04:16:38.96,64.75,6,2
11923,10003469,2020-08-06 04:16:38.96,0.85333,6,2
11923,10003476,2020-08-06 04:16:38.96,35.0,6,2
11923,10003495,2020-08-06 04:16:38.96,5.3865,6,2
11923,10003507,2020-08-06 04:16:38.96,1.3743,6,2
11923,10003508,2020-08-06 04:16:38.96,2.63925,6,2
11923,10003520,2020-08-06 04:16:38.96,1.7485,6,2
11923,10003527,2020-08-06 04:16:38.96,37.97,6,2
11923,10003530,2020-08-06 04:16:38.96,5.4999,6,2
11923,10003599,2020-08-06 04:16:38.96,1.45,6,2
11923,10003602,2020-08-06 04:16:38.96,0.63,6,2
11923,10003610,2020-08-06 04:16:38.96,0.0623,6,2
11923,10003612,2020-08-06 04:16:38.96,0.1191,6,2
11923,10003614,2020-08-06 04:16:38.96,0.4803,6,2
11923,10003615,2020-08-06 04:16:38.96,0.1152,6,2
11923,10003621,2020-08-06 04:16:38.96,0.20351,6,2
11923,10003623,2020-08-06 04:16:38.96,0.1309,6,2
11923,10003635,2020-08-06 04:16:38.96,0.0,6,2
11923,10003640,2020-08-06 04:16:38.96,116.73,6,2
11923,10003641,2020-08-06 04:16:38.96,263.1,6,2
11923,10003643,2020-08-06 04:16:38.96,4.09,6,2
11923,10003647,2020-08-06 04:16:38.96,0.1945,6,2
11923,10003656,2020-08-06 04:16:38.96,0.05467,6,2
11923,10003738,2020-08-06 04:16:38.96,0.0,6,2
11923,10003746,2020-08-06 04:16:38.96,3.71025,6,2
11923,10003753,2020-08-06 04:16:38.96,0.6208,6,2
11923,10003759,2020-08-06 04:16:38.96,0.059,6,2
11923,10003760,2020-08-06 04:16:38.96,0.0394,6,2
11923,10003770,2020-08-06 04:16:38.96,0.14714,6,2
11923,10003775,2020-08-06 04:16:38.96,0.804,6,2
11923,10003779,2020-08-06 04:16:38.96,1.0265,6,2
11923,10003781,2020-08-06 04:16:38.96,0.356,6,2
11923,10003784,2020-08-06 04:16:38.96,0.1834,6,2
11923,10003785,2020-08-06 04:16:38.96,0.3667,6,2
11923,10003790,2020-08-06 04:16:38.96,0.086,6,2
11923,10003794,2020-08-06 04:16:38.96,0.06433,6,2
11923,10003795,2020-08-06 04:16:38.96,0.135,6,2
11923,10003830,2020-08-06 04:16:38.96,0.31633,6,2
11923,10003832,2020-08-06 04:16:38.96,0.32867,6,2
11923,10003833,2020-08-06 04:16:38.96,2730.54,6,2
11923,10003835,2020-08-06 04:16:38.96,0.4,6,2
11923,10003837,2020-08-06 04:16:38.96,0.1547,6,2
11923,10003838,2020-08-06 04:16:38.96,0.1085,6,2
11923,10003840,2020-08-06 04:16:38.96,58.753,6,2
11923,10003876,2020-08-06 04:16:38.96,0.4325,6,2
11923,10003877,2020-08-06 04:16:38.96,0.23387,6,2
11923,10003878,2020-08-06 04:16:38.96,0.62356,6,2
11923,10003879,2020-08-06 04:16:38.96,0.3731,6,2
11923,10003885,2020-08-06 04:16:38.96,0.402,6,2
11923,10003886,2020-08-06 04:16:38.96,0.5604,6,2
11923,10003887,2020-08-06 04:16:38.96,0.0816,6,2
11923,10003889,2020-08-06 04:16:38.96,0.138,6,2
11923,10003890,2020-08-06 04:16:38.96,0.0429,6,2
11923,10003891,2020-08-06 04:16:38.96,0.1546,6,2
11923,10003892,2020-08-06 04:16:38.96,0.111,6,2
11923,10003893,2020-08-27 03:28:06.413,2.21,6,2
11923,10003894,2020-08-06 04:16:38.96,0.21545,6,2
11923,10003907,2020-08-06 04:16:38.96,1.7488,6,2
11923,10003910,2020-08-06 04:16:38.96,200.51,6,2
