,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
69,13535,10465,-2147440893,14,6,3,25,17.0,24.0,21,4.0
70,13535,106142977,-2147440893,10,10,2,18,17.0,17.0,17,0.0
71,13535,10908,-2147440893,10,10,2,10,4.0,4.0,4,0.0
72,13535,110824249,-2147440891,9,7,3,3,4.0,4.0,4,1.0
73,13535,11292,-2147440893,14,8,14,9,7.0,10.0,8,0.46153846153846156
74,13535,11292,-2147440892,14,3,20,9,7.0,14.0,9,0.5789473684210527
75,13535,113786118,-2147440893,9,9,2,10,10.0,10.0,10,0.0
76,13535,11655,-2147440893,4,4,2,34,13.0,13.0,13,0.0
77,13535,117534629,-2147440893,10,6,2,8,1.0,8.0,4,4.0
78,13535,117534629,-2147440891,10,10,2,11,3.0,3.0,3,0.0
79,13535,11814,-2147440893,10,10,2,25,13.0,13.0,13,0.0
80,13535,11993,-2147440892,11,10,3,0,1.0,2.0,1,0.5
81,13535,12128,-2147440893,12,9,3,14,1.0,1.0,1,1.5
82,13535,12198,-2147440893,11,11,2,30,10.0,10.0,10,0.0
83,13535,12489887,-2147440892,14,9,4,3,1.0,3.0,2,1.6666666666666667
84,13535,12833,-2147440893,14,10,2,24,8.0,20.0,14,4.0
85,13535,13259606,-2147440893,12,12,2,12,15.0,15.0,15,0.0
86,13535,13587,-2147440893,14,4,8,0,1.0,1.0,1,1.4285714285714286
87,13535,13754297,-2147437246,14,14,2,9,3.0,3.0,3,0.0
88,13535,13802,-2147440893,10,6,2,17,6.0,9.0,7,4.0
89,13535,14014,-2147440891,14,3,21,1,2.0,4.0,2,0.55
90,13535,14173,-2147440893,11,4,5,26,8.0,28.0,19,1.75
91,13535,14173,-2147440892,10,4,4,26,20.0,23.0,21,2.0
92,13535,14377,-2147440892,10,10,2,14,12.0,12.0,12,0.0
93,13535,144825663,-2147440893,10,10,2,16,16.0,16.0,16,0.0
94,13535,144825663,-2147440892,10,10,2,6,4.0,4.0,4,0.0
95,13535,146773825,-2147440892,14,12,3,3,1.0,1.0,1,1.0
96,13535,148024511,-2147440892,8,8,2,68,56.0,56.0,56,0.0
97,13535,15176,-2147440893,12,12,2,26,24.0,24.0,24,0.0
98,13535,1541301,-2147440893,10,10,2,31,1.0,1.0,1,0.0
99,13535,1541301,-2147440890,14,10,4,36,4.0,13.0,8,1.3333333333333333
100,13535,15647,-2147440893,14,14,2,14,2.0,2.0,2,0.0
101,13535,16036,-2147440892,12,3,6,6,2.0,8.0,5,1.8
102,13535,160960680,-2147440892,10,10,2,47,1.0,1.0,1,0.0
103,13535,16145,-2147440893,10,10,2,25,15.0,15.0,15,0.0
104,13535,1616904,-2147440891,14,12,3,5,2.0,6.0,3,1.0
105,13535,16353,-2147440893,14,6,4,17,14.0,15.0,14,2.6666666666666665
106,13535,16353,-2147440892,14,7,2,19,19.0,19.0,19,7.0
107,13535,16745464,-2147440893,12,12,2,2,1.0,1.0,1,0.0
108,13535,16786,-2147440893,12,7,2,12,10.0,14.0,12,5.0
109,13535,16847868,-2147440892,5,5,2,4,1.0,1.0,1,0.0
110,13535,17125,-2147440893,12,12,2,6,2.0,2.0,2,0.0
111,13535,17274,-2147440890,14,7,6,13,1.0,3.0,2,1.4
112,13535,174504086,-2147440893,14,11,3,30,15.0,20.0,16,1.5
113,13535,17954,-2147440890,12,3,3,20,9.0,11.0,10,4.5
