,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
516,11923,10012195,-2147438087,11,6,3,13,1.0,3.0,2,2.5
517,11923,10012280,-2147438124,14,4,2,6,1.0,4.0,2,10.0
518,11923,10012759,-2147438130,15,4,8,2,1.0,4.0,2,1.5714285714285714
519,11923,10012759,-2147438129,15,4,10,2,1.0,6.0,3,1.2222222222222223
520,11923,10012759,-2147438125,15,4,9,2,2.0,4.0,2,1.375
521,11923,10012759,-2147438124,15,4,11,1,1.0,3.0,1,1.1
522,11923,10012759,-2147438123,15,4,10,2,1.0,4.0,2,1.2222222222222223
523,11923,10012759,-2147438119,15,5,6,1,1.0,2.0,1,2.0
524,11923,10012759,-2147438118,6,5,2,1,1.0,2.0,1,1.0
525,11923,10012759,-2147438107,15,5,9,1,1.0,4.0,1,1.25
526,11923,10012759,-2147438099,15,5,6,1,1.0,4.0,2,2.0
527,11923,10012759,-2147438089,15,13,2,2,1.0,3.0,2,2.0
528,11923,10012759,-2147438086,15,4,10,1,1.0,4.0,2,1.2222222222222223
529,11923,10012759,-2147438085,15,5,8,1,1.0,2.0,1,1.4285714285714286
530,11923,10012759,-2147438083,15,4,8,1,1.0,4.0,1,1.5714285714285714
531,11923,10012759,-2147438069,11,6,3,3,2.0,4.0,3,2.5
532,11923,10012761,-2147438136,10,7,3,7,1.0,3.0,1,1.5
533,11923,10012761,-2147438133,10,4,2,8,1.0,3.0,2,6.0
534,11923,10012761,-2147438097,12,9,2,6,1.0,5.0,3,3.0
535,11923,10012766,-2147438102,14,9,2,6,1.0,3.0,2,5.0
536,11923,10012766,-2147438094,14,9,2,15,4.0,8.0,6,5.0
537,11923,10012766,-2147438093,14,9,2,5,1.0,4.0,2,5.0
538,11923,10012766,-2147438091,14,9,2,8,1.0,4.0,2,5.0
539,11923,10012978,-2147438135,13,9,3,34,1.0,20.0,7,2.0
540,11923,10013058,-2147438069,7,6,2,84,10.0,10.0,10,1.0
541,11923,10013244,-2147438069,10,5,2,9,4.0,7.0,5,5.0
542,11923,10013351,-2147438096,13,8,2,15,7.0,16.0,11,5.0
543,11923,10013359,-2147438092,11,5,3,6,1.0,6.0,3,3.0
544,11923,10013363,-2147438134,6,4,2,14,2.0,8.0,5,2.0
545,11923,10013455,-2147438133,9,4,2,9,2.0,8.0,5,5.0
546,11923,10013632,-2147438121,15,13,2,7,1.0,2.0,1,2.0
547,11923,10014069,-2147438133,9,6,2,14,1.0,10.0,5,3.0
548,11923,10014071,-2147438135,8,7,2,9,9.0,10.0,9,1.0
549,11923,10014125r,-2147438108,15,4,8,2,1.0,3.0,1,1.5714285714285714
550,11923,10014125r,-2147438070,14,4,9,2,1.0,4.0,2,1.25
551,11923,10014182,-2147438133,14,8,2,8,7.0,7.0,7,6.0
552,11923,10014192p,-2147438087,15,6,2,5,3.0,25.0,14,9.0
553,11923,10014195,-2147438069,13,10,2,4,1.0,2.0,1,3.0
554,11923,10014292,-2147438101,8,6,2,8,8.0,12.0,10,2.0
555,11923,10014314,-2147438136,14,11,2,7,2.0,3.0,2,3.0
556,11923,10014330,-2147438127,10,8,2,10,3.0,4.0,3,2.0
557,11923,10014429,-2147438100,11,5,2,8,7.0,7.0,7,6.0
558,11923,10014429,-2147438091,11,5,2,12,5.0,12.0,8,6.0
559,11923,10014430,-2147438095,10,4,2,8,5.0,10.0,7,6.0
560,11923,10014433,-2147438099,13,4,2,7,6.0,8.0,7,9.0
561,11923,10014433,-2147438097,13,4,2,10,10.0,10.0,10,9.0
562,11923,10014433,-2147438095,13,4,2,8,8.0,8.0,8,9.0
563,11923,10014433,-2147438093,13,4,2,4,3.0,5.0,4,9.0
564,11923,10014434,-2147438132,12,8,2,9,4.0,12.0,8,4.0
565,11923,10014763,-2147438133,13,9,2,7,3.0,4.0,3,4.0
566,11923,10014763,-2147438094,12,9,2,9,13.0,13.0,13,3.0
567,11923,10014763,-2147438093,13,9,2,11,7.0,10.0,8,4.0
568,11923,10014763,-2147438092,11,7,2,7,1.0,1.0,1,4.0
569,11923,10014816,-2147438139,12,11,2,6,2.0,5.0,3,1.0
570,11923,10014816,-2147438132,12,11,2,4,2.0,5.0,3,1.0
571,11923,10014816,-2147438124,12,11,2,4,1.0,4.0,2,1.0
572,11923,10014816,-2147438123,12,11,2,5,4.0,5.0,4,1.0
573,11923,10014816,-2147438086,12,11,2,12,4.0,10.0,7,1.0
574,11923,10014818,-2147438123,12,7,2,5,2.0,3.0,2,5.0
575,11923,10014831,-2147438095,12,4,3,10,10.0,10.0,10,4.0
576,11923,10014917,-2147438139,15,4,3,12,4.0,19.0,10,5.5
577,11923,10015347,-2147438134,14,7,2,3,1.0,2.0,1,7.0
578,11923,10015347,-2147438091,13,7,2,7,7.0,8.0,7,6.0
579,11923,10015390,-2147438134,11,6,2,2,1.0,1.0,1,5.0
580,11923,10015390,-2147438127,12,4,3,11,1.0,5.0,3,4.0
581,11923,10015390,-2147438123,14,4,2,3,1.0,1.0,1,10.0
582,11923,10015390,-2147438107,14,12,2,3,1.0,3.0,2,2.0
583,11923,10015390,-2147438095,13,5,2,2,1.0,2.0,1,8.0
584,11923,10015390,-2147438082,14,11,2,5,2.0,2.0,2,3.0
585,11923,10015410,-2147438069,13,8,2,38,1.0,25.0,13,5.0
586,11923,10015411,-2147438125,13,9,2,10,4.0,13.0,8,4.0
587,11923,10015411,-2147438122,13,9,2,7,4.0,5.0,4,4.0
588,11923,10015411,-2147438112,13,9,2,9,4.0,17.0,10,4.0
589,11923,10015464,-2147438124,9,5,4,6,2.0,6.0,3,1.3333333333333333
590,11923,10015464,-2147438084,6,5,2,6,3.0,4.0,3,1.0
591,11923,10015464,-2147438083,6,5,2,7,4.0,5.0,4,1.0
592,11923,10015731,-2147438069,13,6,3,12,1.0,3.0,1,3.5
593,11923,10016134,-2147438093,10,7,2,13,4.0,4.0,4,3.0
594,11923,10016405,-2147438125,13,12,2,5,1.0,3.0,2,1.0
595,11923,10016405,-2147438120,13,12,2,5,1.0,2.0,1,1.0
596,11923,10016406,-2147438138,14,10,2,24,2.0,5.0,3,4.0
597,11923,10016406,-2147438136,7,6,2,10,1.0,7.0,4,1.0
598,11923,10016406,-2147438134,15,8,3,25,1.0,8.0,3,3.5
599,11923,10016406,-2147438132,13,6,3,15,7.0,13.0,9,3.5
600,11923,10016406,-2147438129,13,8,3,4,1.0,3.0,1,2.5
601,11923,10016406,-2147438124,11,8,2,9,2.0,5.0,3,3.0
602,11923,10016406,-2147438102,14,8,3,20,3.0,11.0,6,3.0
603,11923,10016406,-2147438097,13,7,2,17,11.0,19.0,15,6.0
604,11923,10016406,-2147438086,11,8,2,5,1.0,2.0,1,3.0
605,11923,10016406,-2147438082,14,9,2,10,4.0,8.0,6,5.0
606,11923,10016440,-2147438125,12,7,2,2,1.0,2.0,1,5.0
607,11923,10016568,-2147438136,12,8,2,8,4.0,6.0,5,4.0
608,11923,10016570,-2147438088,12,8,2,3,2.0,3.0,2,4.0
609,11923,10016828,-2147438092,10,5,2,3,1.0,1.0,1,5.0
610,11923,10016829,-2147438139,14,7,3,5,2.0,3.0,2,3.5
611,11923,10016829,-2147438138,8,7,2,5,3.0,3.0,3,1.0
612,11923,10016829,-2147438137,14,7,3,6,2.0,6.0,4,3.5
613,11923,10016829,-2147438136,14,7,2,6,5.0,7.0,6,7.0
614,11923,10016829,-2147438125,14,8,2,4,3.0,5.0,4,6.0
615,11923,10016829,-2147438124,14,7,2,8,3.0,10.0,6,7.0
616,11923,10016829,-2147438123,8,7,2,5,2.0,2.0,2,1.0
617,11923,10016829,-2147438101,14,8,2,4,4.0,4.0,4,6.0
618,11923,10016829,-2147438099,14,7,3,8,3.0,7.0,5,3.5
619,11923,10016829,-2147438093,14,8,2,4,4.0,5.0,4,6.0
620,11923,10016829,-2147438091,14,8,2,6,5.0,6.0,5,6.0
621,11923,10016829,-2147438083,14,7,3,4,1.0,7.0,3,3.5
622,11923,10016829,-2147438078,14,7,2,6,6.0,6.0,6,7.0
623,11923,10016860,-2147438138,13,8,2,4,2.0,4.0,3,5.0
624,11923,10016860,-2147438124,13,4,2,3,3.0,3.0,3,9.0
