clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey,medkey
10023,5745,2021-03-12 05:32:03.253,0.016000,7,2,509771
10023,11873,2021-03-12 05:32:03.253,3.538400,7,2,509770
10023,9969,2020-05-22 08:11:50.203,0.000000,7,2,509769
10023,7519,2021-03-12 05:32:03.253,0.473500,7,2,509768
10023,TBT05PACU,2020-05-22 08:11:50.203,0.000000,7,2,509767
10023,3172018,2020-05-22 08:11:50.203,1.000000,7,2,509766
10023,5946,2021-03-12 05:32:03.253,1.082000,7,2,509762
10023,14894,2021-03-12 05:32:03.253,0.223000,7,2,509761
10023,12073,2020-05-22 08:11:50.203,0.170000,7,2,509758
10023,6219,2021-03-12 05:32:03.253,0.333400,7,2,509755
10023,9997,2020-05-22 08:11:50.203,0.000000,7,2,509754
10023,12735,2021-03-12 05:32:03.253,0.314800,7,2,509753
10023,6835,2021-03-12 05:32:03.253,2090.120000,7,2,509752
10023,6325,2021-03-12 05:32:03.253,2.027500,7,2,509751
10023,5394,2021-03-12 05:32:03.253,0.550300,7,2,509750
10023,2031,2020-05-22 08:11:50.203,13.949000,7,2,509749
10023,1793,2020-05-22 08:11:50.203,190.000000,7,2,509748
10023,3336,2021-03-12 05:32:03.253,0.772400,7,2,509747
10023,5895,2020-05-22 08:11:50.203,67.430000,7,2,509745
10023,1466,2021-03-12 05:32:03.253,0.110000,7,2,509744
10023,3161,2021-03-12 01:27:15.983,5.442000,7,2,509743
10023,1328,2020-05-22 08:11:50.203,0.150000,7,2,510105
10023,4626,2021-03-12 05:32:03.253,0.131700,7,2,510104
10023,15924,2020-05-22 08:11:50.203,45.000000,7,2,510103
10023,3120,2021-03-12 05:32:03.253,6.285000,7,2,510101
10023,9972,2020-05-22 08:11:50.203,0.000000,7,2,510100
10023,4118,2021-03-12 05:32:03.253,89.569000,7,2,510099
10023,2116,2020-05-22 08:11:50.203,0.395600,7,2,510098
10023,9968,2020-05-22 08:11:50.203,0.000000,7,2,510095
10023,2022,2021-03-12 05:32:03.253,0.041200,7,2,510091
10023,2106,2021-03-12 05:32:03.253,0.034400,7,2,510089
